Actividad principal (CNAE-2009 a 1, 2 y 3 dígitos);Producto consumido;año;Total
061 Extracción de crudo de petróleo;Gasóleo;2017;0
061 Extracción de crudo de petróleo;Gasóleo;2015;..
061 Extracción de crudo de petróleo;Fueloil;2022;.
061 Extracción de crudo de petróleo;Fueloil;2021;.
061 Extracción de crudo de petróleo;Fueloil;2019;..
061 Extracción de crudo de petróleo;Fueloil;2017;0
061 Extracción de crudo de petróleo;Fueloil;2015;..
061 Extracción de crudo de petróleo;Otros productos petrolíferos;2022;.
061 Extracción de crudo de petróleo;Otros productos petrolíferos;2021;.
061 Extracción de crudo de petróleo;Otros productos petrolíferos;2019;..
061 Extracción de crudo de petróleo;Otros productos petrolíferos;2017;0
061 Extracción de crudo de petróleo;Otros productos petrolíferos;2015;..
061 Extracción de crudo de petróleo;Carbón y coque;2022;.
061 Extracción de crudo de petróleo;Carbón y coque;2021;.
061 Extracción de crudo de petróleo;Carbón y coque;2019;..
061 Extracción de crudo de petróleo;Carbón y coque;2017;0
061 Extracción de crudo de petróleo;Carbón y coque;2015;..
061 Extracción de crudo de petróleo;Biocombustibles;2022;.
061 Extracción de crudo de petróleo;Biocombustibles;2021;.
061 Extracción de crudo de petróleo;Biocombustibles;2019;..
061 Extracción de crudo de petróleo;Biocombustibles;2017;0
061 Extracción de crudo de petróleo;Biocombustibles;2015;..
061 Extracción de crudo de petróleo;Calor y otros consumos energéticos;2022;.
061 Extracción de crudo de petróleo;Calor y otros consumos energéticos;2021;.
061 Extracción de crudo de petróleo;Calor y otros consumos energéticos;2019;..
061 Extracción de crudo de petróleo;Calor y otros consumos energéticos;2017;0
061 Extracción de crudo de petróleo;Calor y otros consumos energéticos;2015;..
061 Extracción de crudo de petróleo;Total consumos energéticos;2022;.
061 Extracción de crudo de petróleo;Total consumos energéticos;2021;.
061 Extracción de crudo de petróleo;Total consumos energéticos;2019;..
061 Extracción de crudo de petróleo;Total consumos energéticos;2017;2.855
061 Extracción de crudo de petróleo;Total consumos energéticos;2015;..
062 Extracción de gas natural;Electricidad;2022;..
062 Extracción de gas natural;Electricidad;2021;..
062 Extracción de gas natural;Electricidad;2019;..
062 Extracción de gas natural;Electricidad;2017;..
062 Extracción de gas natural;Electricidad;2015;..
062 Extracción de gas natural;Gas;2022;..
062 Extracción de gas natural;Gas;2021;..
062 Extracción de gas natural;Gas;2019;..
062 Extracción de gas natural;Gas;2017;..
062 Extracción de gas natural;Gas;2015;..
062 Extracción de gas natural;Gasóleo;2022;..
062 Extracción de gas natural;Gasóleo;2021;..
062 Extracción de gas natural;Gasóleo;2019;..
062 Extracción de gas natural;Gasóleo;2017;..
062 Extracción de gas natural;Gasóleo;2015;..
062 Extracción de gas natural;Fueloil;2022;..
062 Extracción de gas natural;Fueloil;2021;..
062 Extracción de gas natural;Fueloil;2019;..
062 Extracción de gas natural;Fueloil;2017;..
062 Extracción de gas natural;Fueloil;2015;..
062 Extracción de gas natural;Otros productos petrolíferos;2022;..
062 Extracción de gas natural;Otros productos petrolíferos;2021;..
062 Extracción de gas natural;Otros productos petrolíferos;2019;..
062 Extracción de gas natural;Otros productos petrolíferos;2017;..
062 Extracción de gas natural;Otros productos petrolíferos;2015;..
062 Extracción de gas natural;Carbón y coque;2022;..
062 Extracción de gas natural;Carbón y coque;2021;..
